Source Term,Source Term Hot Key,Target Term,Target Term Hot Key,Category,Type,Environment,Product,Comments
linked object,,связанный объект,,GEN,,WIN,Standard,GUI
linked text and list box,,окно поля / связанного со списком,,GEN,,WIN,Standard,GUI
list box,,список,,GEN,,WIN,Standard,GUI
List Files of Type,,Тип файлов:,,GEN,,WIN,Standard,GUI
Macro,,Макрокоманда (Макро),,GEN,,WIN,Standard,GUI
Macro Recorder on (REC),,Запись макро[команды],,GEN,,WIN,Standard,GUI
Main,,Главная,,GEN,,WIN,Standard,GUI
main application,,главное приложение,,GEN,,WIN,Standard,GUI
main document,,главный документ,,GEN,,WIN,Standard,GUI
manual link,,связь / обновляемая вручную,,GEN,,WIN,Standard,GUI
Match Case,,Различать строчные и прописные [буквы],,GEN,,WIN,Standard,GUI
Match Whole Word Only,,Слово целиком,,GEN,,WIN,Standard,GUI
Maximize,,Развернуть [на полный экран],А,COM,,WIN,Standard,GUI
Maximize button,,"кнопка ""развернуть""",,GEN,,WIN,Standard,GUI
menu,,меню,,GEN,,WIN,Standard,GUI
menu bar,,строка меню,,GEN,,WIN,Standard,GUI
menu command,,команда меню,,GEN,,WIN,Standard,GUI
menu name,,имя меню,,GEN,,WIN,Standard,GUI
message,,сообщение,,GEN,,WIN,Standard,GUI
message box,,окно сообщения,,GEN,,WIN,Standard,GUI
message line,,строка сообщений,,GEN,,WIN,Standard,GUI
Minimize,,Свернуть,С,GEN,,WIN,Standard,GUI
Minimize button,,"кнопка ""свернуть""",,GEN,,WIN,Standard,GUI
More,,Еще / Далее / Другие,,GEN,,WIN,Standard,GUI
Mouse,,Мышь,М,COM,,WIN,Standard,GUI
mouse pointer,,указатель [мыши],,GEN,,WIN,Standard,GUI
move,,переместить,,GEN,,WIN,Standard,GUI
Move,,Переместить,П,COM,,WIN,Standard,GUI
MS-DOS Prompt,,Режим MS-DOS / Приглашение MS-DOS,,GEN,,WIN,Standard,GUI
New Window,,Новое окно ,Н,COM,,WIN,Standard,GUI
New,,Создать...,З,COM,,WIN,Standard,GUI
Next,,Следующий,Л,COM,,WIN,Standard,GUI
Next Window,,Следующее окно,,COM,,WIN,Standard,GUI
No,,Нет,,GEN,,WIN,Standard,GUI
NUM LOCK,,NUM LOCK,,KEY,,WIN,Standard,GUI
Num Lock on (NUM),,NUM,,KEY,,WIN,Standard,GUI
Number,,Число...,,COM,,WIN,Standard,GUI
object,,объект,,GEN,,WIN,Standard,GUI
object linking & embedding (OLE),,связь и внедрение объектов (OLE),,GEN,,WIN,Standard,GUI
Object Packager,,Упаковщик объектов,,GEN,,WIN,Standard,GUI
Object,,Объект...,Б,COM,,WIN,Standard,GUI
OLE (object linking & embedding),,OLE (связь и внедрение объектов),,GEN,,WIN,Standard,GUI
OLE application,,приложение / поддерживающее протокол OLE; OLE-приложение,,GEN,,WIN,Standard,GUI
Open,,Открыть,О,COM,,WIN,Standard,GUI
option button,,зависимый переключатель,,GEN,,WIN,Standard,GUI
Options,,Параметры / Возможности / др. переводы в зависимости от содержания,,GEN,,WIN,Standard,GUI
Overtype on (OVR),,Забивать (букву буквой) / Замещать (выделенное при вводе) / Забивка,,GEN,,WIN,Standard,GUI
package,,пакет,,GEN,,WIN,Standard,GUI
Page (Pg),,Страница (Стр),,GEN,,WIN,Standard,GUI
