Copies,,Copies,,OPT,,WIN,Standard,GUI Guide
coprocessor,,coprocesseur,,GEN,N,WIN,Standard,No hyphen in US or FRN
Copy,,Copier,,COM,,WIN,Standard,GUI Guide
copy,,copier,,GEN,V,WIN,Standard,GUI Guide
Copy Special,,Copie spéciale,,COM,,WIN,Standard,GUI Guide
copyright,,copyright,,GEN,,WIN,Standard,
CPU (Central Processing Unit),,processeur / unité central(e),,GEN,,WIN,Standard,
CR (carriage return),,retour chariot,,GEN,N,WIN,Standard,
create,,créer,,GEN,V,WIN,Standard,GUI Guide
critical error,,erreur critique,,GEN,N,WIN,Standard,
crop,,rogner,,GEN,V,WIN,Standard,"Change from ""découper"" in GUI Guide 2nd edit.","to crop a drawing, a picture"
crop,,rognage,,GEN,N,WIN,Standard,Change from GUI Guide 2nd edit.,
crop mark,,repère de rogne,,GEN,N,WIN,Standard,,
cross-hair pointer,,pointeur en croix,,GEN,N,WIN,Standard,GUI Guide,
cross-reference,,références croisées,,GEN,N,WIN,Standard,,
CTRL,,CTRL,,KEY,,WIN,Standard,,
CTRL+B (Bold),,CTRL+G (Gras),,KEY,,WIN,Standard,GUI Guide,
CTRL+C (Copy),,CTRL+C (Copier),,KEY,,WIN,Standard,GUI Guide,
CTRL+E (Center),,ALT+C (Centré),,KEY,,WIN,Standard,GUI Guide. Note shift from CTRL to ALT,
CTRL+I (Italics),,CTRL+I (Italique),,KEY,,WIN,Standard,GUI Guide,
CTRL+J (Justify),,CTRL+J (Justifié),,KEY,,WIN,Standard,GUI Guide,
CTRL+L (Left align),,CTRL+MAJ+G (Aligné à gauche),,KEY,,WIN,Standard,GUI Guide,
CTRL+N (New),,CTRL+N (Nouveau),,KEY,,WIN,Standard,,
CTRL+O (Open),,CTRL+O (Ouvrir),,KEY,,WIN,Standard,,
CTRL+P (Print),,CTRL+P (Imprimer),,KEY,,WIN,Standard,,
CTRL+R (Right align),,CTRL+MAJ+D (Aligné à droite),,KEY,,WIN,Standard,GUI Guide,
CTRL+U (Underline),,CTRL+S (Souligné),,KEY,,WIN,Standard,GUI Guide
CTRL+V (Paste),,CTRL+V (Coller),,KEY,,WIN,Standard,GUI Guide
CTRL+X (Cut),,CTRL+X (Couper),,KEY,,WIN,Standard,GUI Guide
CTRL+Y (Repeat),,CTRL+Y (Répéter),,KEY,,WIN,Standard,
CTRL+Z (Undo),,CTRL+Z (Annuler),,KEY,,WIN,Standard,GUI Guide
current drive,,lecteur actif,,GEN,N,WIN,Standard,
custom installation,,installation personnalisée,,GEN,N,WIN,Standard,
Customize,,Personnaliser,,COM,,WIN,Standard,GUI Guide
customized,,personnalisé,,GEN,,WIN,Standard,
Cut,,Couper,,COM,,WIN,Standard,GUI Guide
cut,,couper,,GEN,V,WIN,Standard,GUI Guide
daisy-wheel printers,,imprimante à marguerite,,GEN,N,WIN,Standard,
DAT (digital audio tape),,bande audio numérique (DAT),,GEN,,WIN,Standard,
data,,données,,GEN,N,WIN,Standard,
data processing,,traitement de données,,GEN,N,WIN,Standard,
database,,base de données,,GEN,N,WIN,Standard,
database management system (DBMS),,système de gestion de base de données(SGBD),,GEN,,WIN,Standard,,
DCA (Document Content Architecture),,DCA,,GEN,,WIN,Standard,,A formatting guideline enabling exchange of documents between computers of different sizes and models.
DDE (dynamic data exchange),,échange dynamique de données (DDE),,GEN,,WIN,Standard,,
deallocate,,désaffecter / libérer,,GEN,,WIN,Standard,,To reclaim or free previously allocated memory.
debug,,déboguer,,GEN,V,WIN,Standard,,"To detect, locate and correct logical or syntactical errors in a computer program."
decibel (dB),,décibel (dB),,GEN,N,WIN,Standard,One tenth of a bel,A unit of measurement used in electronics.
decompress,,décompresser,,GEN,V,WIN,Standard,,
default,,par défaut,,GEN,N,WIN,Standard,GUI Guide,
define,,définir,,GEN,V,WIN,Standard,GUI Guide,
Define,,Définir,,COM,,WIN,Standard,GUI Guide,
deinstall,,désinstaller ,,GEN,,WIN,Standard,"used for Office command: ""install and deinstall""",
DEL,,SUPPR,,KEY,,WIN,Standard,Style Guide,
DELETE,,SUPPR,,KEY,,WIN,Standard,Style Guide,
Delete,,Supprimer,,COM,,WIN,Standard,GUI Guide,
delete,,supprimer,,GEN,V,WIN,Standard,GUI Guide,
demi-bold,,demi-gras,,GEN,ADJ,WIN,Standard,,
demo,,démonstration,,GEN,N,WIN,Standard,,
descender,,hampe inférieure / (lettre) descendante,,GEN,N,WIN,Standard,Printer term,That portion of a lowercase letter that falls below the baseline.
desktop,,bureau,,GEN,N,WIN,Standard,,
destination,,destination,,GEN,N,WIN,Standard,,
destination application,,application destination,,GEN,N,WIN,Standard,Note change from GUI Guide 2nd edit.,
destination document,,document destination,,GEN,N,WIN,Standard,Note change from GUI Guide 2nd edit.,
device,,périphérique,,GEN,N,WIN,Standard,GUI Guide,
device driver,,pilote de périphérique,,GEN,N,WIN,Standard,GUI Guide,
diacricitical mark,,signe diacritique,,GEN,N,WIN,Standard,GUI Guide,"A mark above, below or through a written character, such as an acute or grave accent."
dialog box,,boîte de dialogue,,GEN,N,WIN,Standard,GUI Guide,
dialog box option ,,option de boîte de dialogue,,GEN,N,WIN,Standard,GUI Guide,
dialog box title,,titre de boîte de dialogue,,GEN,N,WIN,Standard,GUI Guide,
DIF (data interchange format),,format d'échange de données (format DIF,,GEN,,WIN,Standard,,
direct access,,accès direct,,GEN,,WIN,Standard,"Same as ""random access"".",
Direction,,Direction,,DIA,N,WIN,Standard,GUI Guide,
direction,,direction,,GEN,N,WIN,Standard,,
direction key,,touche de direction,,GEN,,WIN,Standard,"Do not use in US.  Use ""arrow key"" instead.",
Directories,,Répertoires,,DIA,,WIN,Standard,GUI Guide,
directory,,répertoire,,GEN,N,WIN,Standard,,
directory icon,,icône de répertoire,,GEN,N,WIN,Standard,GUI Guide,
directory name,,nom de répertoire,,GEN,N,WIN,Standard,,
disable,,désactiver,,GEN,V,WIN,Standard,,
disc,,disque,,GEN,N,WIN,Standard,"Use ""disc"" for compact disc.","A flat, nonmagnetic metal disk to be read from and written to by optical (laser) technology."
disjunction,,disjonction,,GEN,,WIN,Standard,,
disk,,"disque, disquette",,GEN,N,WIN,Standard,,
disk cache,,disque antémémoire,,GEN,N,WIN,Standard,"Check other translations such as ""cache disque"" and ""mémoire cache de disque.""",
disk drive,,lecteur de disque,,GEN,N,WIN,Standard,,
disk icon,,icône de disque,,GEN,N,WIN,Standard,GUI Guide,
display,,afficher,,GEN,V,WIN,Standard,,
dithering,,faux dégradé,,GEN,,WIN,Standard,"See MS Computer Dict. , US and FRN versions",A technique used in computer graphics to create the illusion of varying shades of gray or additional colors.
DLL (dynamic-link library),,Bibliothèque de liaison dynamique (DLL),,GEN,,WIN,Standard,,
document,,document,,GEN,N,WIN,Standard,,
document control menu box,,case de fermeture du document,,GEN,N,WIN,Standard,,
document icon,,icône de document,,GEN,N,WIN,Standard,GUI Guide,
document window,,fenêtre de document,,GEN,N,WIN,Standard,GUI Guide,
domain,,domaine,,GEN,N,WIN,Standard,,
DOS (disk operating system),,système d'exploitation MS-DOS,,GEN,N,WIN,Standard,"Always use ""MS"" before the abbreviation DOS.  If other operating systems are implied also, use the phrase: ""MS-DOS and other DOS systems"".",
dot-matrix printer,,imprimante matricielle,,GEN,N,WIN,Standard,,
double quotation marks,,guillemets doubles,,GEN,N,WIN,Standard,,
Double Underline,,Double souligné / Soulignement double,,DIA,,WIN,Standard,GUI Guide,
double-click,,cliquer deux fois,,GEN,V,WIN,Standard,GUI Guide,
double-density disk,,disquette à double densité,,GEN,,WIN,Standard,,A disk created to hold data at twice the density (bits per inch) of previous disks.
double-sided disk,,disquette à double face,,GEN,,WIN,Standard,,A floppy disk that can hold data on both its top and bottom surfaces.
Down,,Bas,,DIA,,WIN,Standard,GUI Guide,
DOWN ,,BAS,,KEY,,WIN,Standard,Style Guide,
down scroll arrow,,flèche de défilement vers le bas,,GEN,N,WIN,Standard,GUI Guide,
draft output,,brouillon,,GEN,N,WIN,Standard,,
drag,,faire glisser,,GEN,V,WIN,Standard,,
drag-and-drop,,glisser-déplacer,,GEN,N,WIN,Standard,,
drive,,lecteur ,,GEN,N,WIN,Standard,,
drive door,,volet de lecteur,,GEN,N,WIN,Standard,,
drive icon,,icône de lecteur,,GEN,N,WIN,Standard,GUI Guide,
driver,,pilote,,GEN,N,WIN,Standard,,
Drives,,Lecteurs,,DIA,,WIN,Standard,GUI Guide,
drop,,déposer,,GEN,V,WIN,Standard,,
drop cap,,lettrine,,GEN,N,WIN,Standard,A feature in Word,A large capital letter at the beginning of a block of text.
drop-down combo box,,zone de liste déroulante modifiable,,GEN,N,WIN,Standard,GUI Guide correction,
drop-down list box,,zone de liste déroulante,,GEN,N,WIN,Standard,GUI Guide correction,
drop-down menu,,menu déroulant,,GEN,N,WIN,Standard,GUI Guide,A type of menu that drops from the menu bar and remains open.
Dynamic Data Exchange (DDE),,Echange dynamique de données (DDE),,GEN,N,WIN,Standard,,
Edit,,Edition,,MNU,,WIN,Standard,GUI Guide,
EGA (Enhanced Graphics Adapter),,carte EGA,,GEN,N,WIN,Standard,,
EIS (executive information system),,système EIS,,GEN,,WIN,Standard,,
electronic mail,,messagerie électronique,,GEN,N,WIN,Standard,,
ellipsis,,points de suspension,,GEN,N,WIN,Standard,GUI Guide,
em dash,,tiret cadratin,,GEN,N,WIN,Standard,ANSI  0151,"A punctuation mark, about the length of an ""m""."
em space,,espace cadratin,,GEN,N,WIN,Standard,,
embed,,incorporer,,GEN,V,WIN,Standard,GUI Guide,
embedded object,,objet incorporé,,GEN,,WIN,Standard,GUI Guide,
EMS (Electronic Message System),,Système de messagerie élctronique,,GEN,,WIN,Standard,,
en dash,,signe moins (–),,GEN,N,WIN,Standard,Note that the en dash is longer than the hyphen or US minus sign on the keyboard  ANSI  0150.,
END,,FIN,,KEY,,WIN,Standard,Style Guide,
end mark,,marque de fin,,GEN,,WIN,Standard,,
end user,,utilisateur final,,GEN,,WIN,Standard,"Avoid in US.  Use ""user"" instead.",
engine,,moteur,,GEN,N,WIN,Standard,,
enter,,entrer,,GEN,V,WIN,Standard,Style Guide,
