C65 Envelope,,,US C65-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
Calculator,,,Lommeregner,,GEN,,WIN,Standard,GUI - program
Calendar,,,Kalender,,GEN,,WIN,Standard,GUI - program
Call Waiting,,,Ventekald,,GEN,,WIN,Standard,"Funktion i visse telefonanlæg. Funktionen Ventekald (KTAS-navn) sætter telefonopkald i kø.  (oplyst af KTAS, juni 1994)"
Canada,,,Canada,,GEN,,WIN,Standard,
Canadian English,,,engelsk (canadisk),,GEN,,WIN,Standard,
Canadian French,,,fransk (canadisk),,GEN,,WIN,Standard,
Cancel,,,Annuller,,BUT,,WIN,Standard,GUI  To halt an operation (or process) and return to the state before it was invoked.  Compare stop.
cancel,,,annullere,,GEN,V,WIN,Standard,GUI
Cannot find file.,,,Kan ikke finde filen.,,ERR,,WIN,Standard,
capitalization,,,store bogstaver,,GEN,,WIN,Standard,
capitalized letter,,,stort bogstav,,GEN,,WIN,Standard,
capitals,,,store bogstaver,,GEN,,WIN,Standard,
caps,,,store bogstaver,,GEN,,WIN,Standard,
CAPS LOCK,,,CAPS LOCK,,KEY,,WIN,Standard,GUI
Caps Lock on (CAPS),,,CAPS,,GEN,,WIN,Standard,GUI - status bar abbreviation
Cardfile,,,Kartotek,,GEN,,WIN,Standard,GUI - program
Caret,,,indsætningspunkt,,GEN,,WIN,Standard,^  See insertion point.
Carriage return,,,vognretur,,GEN,,WIN,Standard,
carry out an action,,,udføre en handling,,GEN,V,WIN,Standard,
Cascade,c,,Overlappet ,o,COM,,WIN,Standard,GUI
cascading,,,overlappet/overlappende,,GEN,,WIN,Standard,
cascading menu,,,undermenu,,GEN,,WIN,Standard,GUI  A menu that is submenu of a menu item.  (Also known as a hierarchical menu.)
cascading windows,,,overlappende vinduer,,GEN,,WIN,Standard,GUI
Castilian Spanish,,,spansk (castiliansk),,GEN,,WIN,Standard,
Catalan,,,catalansk,,GEN,,WIN,Standard,
Caution,,,Advarsel!,,GEN,,WIN,Standard,Alert message
CD,,,CD,,GEN,,WIN,Standard,Compact Disk. CD'en
CD-ROM,,,CD-ROM,,GEN,,WIN,Standard,CD-ROM'en
Cedilla,,,cedille,,GEN,,WIN,Standard,
center,,,centrere,,GEN,V,WIN,Standard,
centered,c,,centreret,c,GEN,,WIN,Standard,GUI
centered paragraph ,,,centreret afsnit,,GEN,,WIN,Standard,
centering,,,centrering,,GEN,,WIN,Standard,
centimeter,,,centimeter,,GEN,,WIN,Standard,
change,,,skifte/erstatte/redigere/ændre,,GEN,V,WIN,Standard,context dependant
change,,,ændring/rettelse,,GEN,N,WIN,Standard,
Change ,,,Skift,,BUT,,WIN,Standard,"GUI - as a command name it can also be ""Rediger"". Avoid the form ""Ændr""."
Change window position,,,Ændrer vinduespositionen,,TXT,,WIN,Standard,status bar message
Change window size,,,Ændrer vinduesstørrelsen,,TXT,,WIN,Standard,status bar message
Changes the size of the window,,,Ændrer vinduesstørrelsen,,TXT,,WIN,Standard,status bar message
Chapter 2 explains...,,,I kapitel 2 beskrives ...,,GEN,,WIN,Standard,Documentation phrase
Character,c,,Tegn,t,COM,,WIN,Standard,GUI
character font,,,skrifttype,,GEN,,WIN,Standard,
Character Map,,,Tegnoversigt,,GEN,,WIN,Standard,GUI - program
check ,,,afkrydse,,GEN,V,WIN,Standard,GUI
check ,,,kontrollere ,,GEN,V,WIN,Standard,
check box,,,afkrydsningsfelt,,GEN,,WIN,Standard,"GUI  A standard Windows control that displays a setting, either checked (set) or unchecked (not set).  Compare option button."
checked command,,,afkrydset kommando,,GEN,,WIN,Standard,GUI
checkmark,,,afkrydsning,,GEN,,WIN,Standard,GUI
chevrons,,,«-tegn,,GEN,,WIN,Standard,GUI
China,,,Kina,,GEN,,WIN,Standard,
choose,,,vælge,,GEN,V,WIN,Standard,GUI
circumflex,,,cirkumfleks,,GEN,,WIN,Standard,
Clear,e,,Ryd  ,d,COM,,WIN,Standard,GUI
clear,,,rydde,,GEN,V,WIN,Standard,GUI
CLEAR,,,CLEAR,,KEY,,WIN,Standard,
clear (undo check),,,fjerne afkrydsning,,GEN,V,WIN,Standard,GUI
clear a checkbox (undo select),,,"fjerne afkrydsningen (i feltet ""Xxx"")",,GEN,,WIN,Standard,
Clear All ,,,Ryd alt  ,d,COM,,WIN,Standard,GUI
click,,,klikke på ,,GEN,V,WIN,Standard,GUI  (v.) To position the pointer over an object and then press and release a mouse button.  (n.) The act of clicking.
ClipArt,,,ClipArt,,GEN,,WIN,Standard,"Do not write ""clipart"" or ""Clip Art"""
Clipboard,,,Udklipsholder,,GEN,,WIN,Standard,"Skrives med stort og bøjes ikke. Eksempel: Den tekst, som du kopierer, placeres i Udklipsholder.  Definition: The area of storage (buffer) where objects (data) or their references are placed when a Cut or Copy operation is executed."
Clipboard Viewer,,,Udklipsholder,,GEN,,WIN,Standard,GUI - program
Clock,,,Ur,,GEN,,WIN,Standard,GUI - program
Close,c,,Luk  ,l,COM,,WIN,Standard,GUI
close,,,lukke,,GEN,V,WIN,Standard,GUI  To remove a window.
Close All,c,,Luk alt  ,l,COM,,WIN,Standard,GUI
close box,,,lukboks,,GEN,,WIN,Standard,GUI
Close window and quit xxx,,,Lukker vinduet og afslutter xxx,,TXT,,WIN,Standard,status bar message
Closes the window,,,Lukker vinduet,,TXT,,WIN,Standard,status bar message
Closing chevron,,,»-tegn,,GEN,,WIN,Standard,»
cm,,,cm,,GEN,,WIN,Standard,
Col ,,,Kol,,GEN,,WIN,Standard,status bar abbrevation
