Position Label,,Felirat áthelyezése,,COM,,WIN,WRKS3
Position Selection,,Áthelyezés,,COM,,WIN,WRKS3
Print Preview,,Nyomtatási kép,,COM,,WIN,WRKS3
Print...\tCtrl+P,,Nyomtatás...\tCtrl+Y,,COM,,WIN,WRKS3
Printer Setup...,,Nyomtatóbeállítás...,,COM,,WIN,WRKS3
Protection...,,Adatvédelem...,,COM,,WIN,WRKS3
Query view,,Lekérdezés áttekintése,,COM,,WIN,WRKS3
Quick Formats,,Gyors formázás,,COM,,WIN,WRKS3
Radar...,,Sugár...,,COM,,WIN,WRKS3
Range Name...,,Tartománynév...,,COM,,WIN,WRKS3
Receive File...,,Fájl fogadása...,,COM,,WIN,WRKS3
Record,,Rekord,,COM,,WIN,WRKS3
Record Height...,,Rekordmagasság...,,COM,,WIN,WRKS3
Record Script...,,Parancslista rögzítése...,,COM,,WIN,WRKS3
Record/Field,,Rekord/mezõ,,COM,,WIN,WRKS3
Rectangle,,Téglalap,,COM,,WIN,WRKS3
Replace...,,Csere...,,COM,,WIN,WRKS3
Report...,,Jelentés...,,COM,,WIN,WRKS3
Reporting overview,,Jelentés áttekintése,,COM,,WIN,WRKS3
Right Vertical (Y) Axis...,,Jobb oldali függõleges tengely (Y)...,,COM,,WIN,WRKS3
Row Height,,Sormagasság,,COM,,WIN,WRKS3
Row/Column,,Sor/oszlop,,COM,,WIN,WRKS3
Ruler,,Vonalzó,,COM,,WIN,WRKS3
Save As...,,Mentés másként...,,COM,,WIN,WRKS3
Save Workspace,,Munkaterület mentése,,COM,,WIN,WRKS3
Save\tCtrl+S,,Mentés\tCtrl+M,,COM,,WIN,WRKS3
Search for Help on...,,Témakörök keresése...,,COM,,WIN,WRKS3
Select All,,Teljes kijelölés,,COM,,WIN,WRKS3
Select Column,,Oszlop kijelölése,,COM,,WIN,WRKS3
Select Field,,Mezõ kijelölése,,COM,,WIN,WRKS3
Select Record,,Rekord kijelölése,,COM,,WIN,WRKS3
Select Row,,Sor kijelölése,,COM,,WIN,WRKS3
Select Title Text\tCtrl+T,,Címszöveg kijelölése\tCtrl+L,,COM,,WIN,WRKS3
Send File...,,Fájl küldése...,,COM,,WIN,WRKS3
Send Text...,,Szöveg küldése...,,COM,,WIN,WRKS3
Send To Back,,Hátraküldés,,COM,,WIN,WRKS3
Send...,,Küldés...,,COM,,WIN,WRKS3
Series...,,Adatsorok...,,COM,,WIN,WRKS3
Set Preferred Chart,,Alaptípus kijelölése,,COM,,WIN,WRKS3
Set Print Area,,Nyomtatásra kijelölt terület,,COM,,WIN,WRKS3
Show All Records,,Összes rekord látható,,COM,,WIN,WRKS3
Show Field Name,,Mezõnév látható,,COM,,WIN,WRKS3
Snap To Grid,,Rácshoz igazítás,,COM,,WIN,WRKS3
Sort,,Rendezés,,COM,,WIN,WRKS3
Sort Records...,,Rekordok rendezése...,,COM,,WIN,WRKS3
Sort Rows...,,Sorok rendezése...,,COM,,WIN,WRKS3
Special Character...,,Speciális jel...,,COM,,WIN,WRKS3
Spelling...,,Helyesírás...,,COM,,WIN,WRKS3
Split,,Felosztás,,COM,,WIN,WRKS3
Spreadsheet,,Számolótábla,,COM,,WIN,WRKS3
Spreadsheet overview,,Számolótábla áttekintése,,COM,,WIN,WRKS3
Spreadsheet/Table...,,Számolótábla/táblázat...,,COM,,WIN,WRKS3
Stacked Line...,,Halmozott vonal...,,COM,,WIN,WRKS3
Switch Hidden Records,,Váltás a rejtett rekordokra,,COM,,WIN,WRKS3
Tabs...,,Tabulátorok...,,COM,,WIN,WRKS3
Templates...,,Sablonok...,,COM,,WIN,WRKS3
Terminal...,,Terminál...,,COM,,WIN,WRKS3
Thesaurus...,,Szinonimaszótár...,,COM,,WIN,WRKS3
Tile,,Mozaik elrendezés,,COM,,WIN,WRKS3
Titles...,,Címek...,,COM,,WIN,WRKS3
Toolbar,,Eszköztár,,COM,,WIN,WRKS3
Topic:...\tF1,,Téma:...\tF1,,COM,,WIN,WRKS3
Transfer...,,Átvitel...,,COM,,WIN,WRKS3
Tutorial\tShift+F1,,Tankönyv\tShift+F1,,COM,,WIN,WRKS3
Two Vertical (Y) Axes...,,Két függõleges tengely (Y)...,,COM,,WIN,WRKS3
Undo\tCtrl+Z,,Visszavonás\tCtrl+Z,,COM,,WIN,WRKS3
Update,,Frissítés,,COM,,WIN,WRKS3
Vertical (Y) Axis...,,Függõleges tengely (Y)...,,COM,,WIN,WRKS3
Word Count,,Szavak száma,,COM,,WIN,WRKS3
Word Processor overview,,Szövegszerkesztõ áttekintése,,COM,,WIN,WRKS3
WorksWizards...,,Works Varázslók...,,COM,,WIN,WRKS3
Wrap for Window,,Illesztés az ablakba,,COM,,WIN,WRKS3
Zoom...,,Nagyítás...,,COM,,WIN,WRKS3
1st Column,,1. oszlop,,DIA,,WIN,WRKS3
1st Field,,1. mezõ,,DIA,,WIN,WRKS3
1st Label,,1. felirat,,DIA,,WIN,WRKS3
1st Value Series,,1. értéksorozat,,DIA,,WIN,WRKS3
3rd Column,,3. oszlop,,DIA,,WIN,WRKS3
3rd Field,,3. mezõ,,DIA,,WIN,WRKS3
Address:,,Címzett:,,DIA,,WIN,WRKS3
Apply relative to,,Viszonyítási alap,,DIA,,WIN,WRKS3
Bars:,,Oszlopok:,,DIA,,WIN,WRKS3
Border,,Szegély,,DIA,,WIN,WRKS3
Bytes received:,,Fogadott bájtok száma:,,DIA,,WIN,WRKS3
Bytes sent:,,Küldött bájtok száma:,,DIA,,WIN,WRKS3
Category,,Kategória,,DIA,,WIN,WRKS3
Chart:,,Diagram:,,DIA,,WIN,WRKS3
Choose Database,,Adatbázis kiválasztása,,DIA,,WIN,WRKS3
Comma,,Tagolt,,DIA,,WIN,WRKS3
Commands,,Parancsok,,DIA,,WIN,WRKS3
Communications,,Adatátvitel,,DIA,,WIN,WRKS3
Connect option,,Kapcsolatfelvétel,,DIA,,WIN,WRKS3
Create a new,,Új dokumentum létrehozása,,DIA,,WIN,WRKS3
Currency,,Pénznem,,DIA,,WIN,WRKS3
Current database:,,Kiválasztott adatbázis:,,DIA,,WIN,WRKS3
Data,,Mezõ,,DIA,,WIN,WRKS3
Data bits,,Adatbitek,,DIA,,WIN,WRKS3
Date,,Dátum,,DIA,,WIN,WRKS3
Description,,Leírás,,DIA,,WIN,WRKS3
Diagram,,Vázlat,,DIA,,WIN,WRKS3
Dial type,,Tárcsázási mód,,DIA,,WIN,WRKS3
Directories:,,Az élõ könyvtár:,,DIA,,WIN,WRKS3
Drives:,,Lemezmeghajtó:,,DIA,,WIN,WRKS3
End of Lines,,Sorok vége,,DIA,,WIN,WRKS3
Envelope size,,Boríték mérete,,DIA,,WIN,WRKS3
Error Count:,,Hibák száma:,,DIA,,WIN,WRKS3
Exponential,,Tudományos,,DIA,,WIN,WRKS3
Fields in Report:,,Mezõk a jelentésben:,,DIA,,WIN,WRKS3
File Type,,Fájltípus,,DIA,,WIN,WRKS3
Finishing touches,,Utolsó simítások,,DIA,,WIN,WRKS3
First column contains:,,Az elsõ oszlop tartalma:,,DIA,,WIN,WRKS3
First row contains:,,Az elsõ sor tartalma:,,DIA,,WIN,WRKS3
Fixed,,Tizedes,,DIA,,WIN,WRKS3
Footnote Type,,Lábjegyzet típusa,,DIA,,WIN,WRKS3
Format,,Formátum,,DIA,,WIN,WRKS3
Fraction,,Tört,,DIA,,WIN,WRKS3
Handshake,,Vezérlés,,DIA,,WIN,WRKS3
In Word Processor,,Szövegszerkesztõ,,DIA,,WIN,WRKS3
Indents,,Behúzások,,DIA,,WIN,WRKS3
Insert Label,,Felirat beszúrása,,DIA,,WIN,WRKS3
Label spacing,,Címkék távolsága,,DIA,,WIN,WRKS3
Label style:,,Címke típusa:,,DIA,,WIN,WRKS3
Label:,,Címke:,,DIA,,WIN,WRKS3
Leader,,Vezetõ,,DIA,,WIN,WRKS3
Leading Zeros,,Vezetõ nullák,,DIA,,WIN,WRKS3
Line Spacing,,Sorköz,,DIA,,WIN,WRKS3
Line Style,,Vonaltípus,,DIA,,WIN,WRKS3
List Files of Type:,,Fájltípus:,,DIA,,WIN,WRKS3
