Landscape,,Orizzontale,,OPT,,WIN,STANDARD,Etichetta finestra di dialogo.
Left aligned,,Allineato a sinistra,,GEN,,WIN,STANDARD,Formattazione di paragrafo.
Left arrow,,Freccia SINISTRA,,KEY,,WIN,STANDARD,
Left scroll arrow,,Freccia di scorrimento Sinistra,,GEN,,WIN,STANDARD,Parte dello schermo.
Left window border,,Bordo sinistro della finestra,,GEN,,WIN,STANDARD,Parte dello schermo.
Link,,Collegare,,GEN,,WIN,STANDARD,
Linked object,,Oggetto collegato,,GEN,,WIN,STANDARD,
Linked text and list box,,Casella di modifica e riepilogo collegata,,GEN,,WIN,STANDARD,
List box,,Casella di riepilogo,,GEN,,WIN,STANDARD,
List Files of Type,,Tipo file,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Ln,,Ri,,GEN,,WIN,STANDARD,Abbreviazione barra di stato.
Macro,,Macro,,MNU,,WIN,STANDARD,
Macro menu,,Macro,,MNU,,WIN,STANDARD,
Main,,Principale,,GEN,,WIN,STANDARD,Nome gruppo di programmi Windows.
Main application,,Applicazione principale,,GEN,,WIN,STANDARD,
Main document,,Documento principale,,GEN,,WIN,STANDARD,
Manual link,,Collegamento manuale,,GEN,,WIN,STANDARD,
Mark,,Segnare,,GEN,,WIN,STANDARD,
Marquee,,Cornice intermittente,,GEN,,WIN,STANDARD,
Match Case,,Maiuscole/minuscole,,CHX,,WIN,STANDARD,Etichetta finestra di dialogo.
Match Whole Word Only,,Parola intera,,OPT,,WIN,STANDARD,Etichetta finestra di dialogo.
Maximize,,Ingrandire,,GEN,,WIN,STANDARD,
Maximize,,Ingrandisci,,COM,,WIN,STANDARD,
Maximize button,,Pulsante di ingrandimento,,GEN,,WIN,STANDARD,Parte dello schermo.
Maximize icon,,Icona Ingrandisci,,GEN,,WIN,STANDARD,
Media Player,,Lettore multimediale,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Menu,,Menu,,GEN,,WIN,STANDARD,Parte dello schermo.
Menu bar,,Barra dei menu,,GEN,,WIN,STANDARD,Parte dello schermo.
Menu command,,Comando del menu,,GEN,,WIN,STANDARD,Parte dello schermo.
Menu item,,Voce di menu,,GEN,,WIN,STANDARD,
Menu name,,Nome del menu,,GEN,,WIN,STANDARD,Parte dello schermo.
Message,,Messaggio,,GEN,,WIN,STANDARD,
Message bar,,Barra dei messaggi,,GEN,,WIN,STANDARD,
Message box,,Finestra di messaggio,,GEN,,WIN,STANDARD,
Message line,,Barra dei messaggi,,GEN,,WIN,STANDARD,
MIDI Sequencer,,MIDI Sequencer,,COM,,WIN,STANDARD,
Minimize,,Riduci a icona,,COM,,WIN,STANDARD,
Minimize,,Ridurre a icona,,GEN,,WIN,STANDARD,
Minimize button,,Pulsante di riduzione a icona,,GEN,,WIN,STANDARD,Parte dello schermo.
