abbreviation,,abreviatura,,GEN,,WIN,Standard
DDE (dynamic data exchange),,intecambio dinámico de datos (DDE),,GEN,,WIN,Standard,,
deallocate,,liberar,,GEN,,WIN,Standard,,To reclaim or free previously allocated memory.
deallocate,,desasignar,,GEN,,WIN,Standard,,
debug,,depurar,,GEN,,WIN,Standard,,"To detect, locate and correct logical or syntactical errors in a computer program."
decompress,,expandir,,GEN,V,WIN,Standard,,
decompress,,descomprimir,,GEN,V,WIN,Standard,,
default,,predeterminado,,GEN,N,WIN,Standard,,
define,,definir,,GEN,V,WIN,Standard,,
deinstall,,desinstalar,,GEN,,WIN,Standard,,
DEL,,SUPR,,KEY,,WIN,Standard,,Meaning Suprimir
delete,,eliminar,,GEN,,WIN,Standard,,
DELETE,,SUPRIMIR,,KEY,,WIN,Standard,,
demi-bold,,seminegrita,,GEN,ADJ,WIN,Standard,,
demo,,demostración,,GEN,N,WIN,Standard,,It's acceptable demo if there are space problems
descender,,trazo bajo,,GEN,N,WIN,Standard,,[de letra]
deselect,,deseleccionar,,GEN,V,WIN,Standard,,
deselect,,anular la selección,,GEN,V,WIN,Standard,,
desktop,,escritorio,,GEN,N,WIN,Standard,,
destination,,destino,,GEN,N,WIN,Standard,,
destination application,,aplicación de destino,,GEN,N,WIN,Standard,,
destination document,,documento de destino,,GEN,N,WIN,Standard,,
device,,dispositivo,,GEN,N,WIN,Standard,,
device driver,,controlador de dispositivo,,GEN,N,WIN,Standard,,
diacritical mark,,marca diacrítica,,GEN,N,WIN,Standard,,"An accent mark above, below or through a written charachter, such as acute or accent grave."
dialog box,,cuadro de diálogo,,GEN,N,WIN,Standard,,
dialog box option ,,opción del cuadro de diálogo,,GEN,N,WIN,Standard,,
dialog box title,,título del cuadro de diálogo,,GEN,N,WIN,Standard,,
DIF (data interchange format),,formato de intercambio de datos (DIF),,GEN,,WIN,Standard,,
DIP switch,,interruptor DIP,,GEN,,WIN,Standard,,microinterruptor
direct access,,acceso directo,,GEN,,WIN,Standard,,
Direction,,Dirección,,DIA,N,WIN,Standard,,
direction,,dirección,,GEN,N,WIN,Standard,,
Directories,,Directorios,V,DIA,,WIN,Standard,,
directory,,directorio,,GEN,N,WIN,Standard,,
directory icon,,icono de directorio,,GEN,N,WIN,Standard,,
directory name,,nombre de directorio,,GEN,N,WIN,Standard,,
disable,,desactivar,,GEN,V,WIN,Standard,,
disc,,disco,,GEN,N,WIN,Standard,,"A flat, nonmagnetic metal disk to be read from and written to by optical (laser) technology."
disjunction,,disyunción,,GEN,,WIN,Standard,,
disk,,disco,,GEN,N,WIN,Standard,,
Disk 1,,Disco 1,,GEN,N,WIN,Standard,,
disk cache,,caché de disco,,GEN,N,WIN,Standard,,
disk directory,,directorio de disco,,GEN,N,WIN,Standard
disk drive,,unidad de disco,,GEN,N,WIN,Standard
disk icon,,icono de disco,,GEN,N,WIN,Standard
disk images,,imágenes o duplicados de disco,,GEN,N,WIN,Standard
display,,presentar,,GEN,V,WIN,Standard
display,,visualización,,GEN,N,WIN,Standard
DLL (dynamic-link library),,biblioteca de vínculos dinámicos (DLL),,GEN,,WIN,Standard
document,,documento,,GEN,N,WIN,Standard
document control menu box,,cuadro del menú Control del documento,,GEN,N,WIN,Standard
document icon,,icono del documento,,GEN,N,WIN,Standard
document window,,ventana del documento,,GEN,N,WIN,Standard
domain,,dominio,,GEN,N,WIN,Standard
DOS (disk operating system),,DOS (sistema operativo de disco),,GEN,N,WIN,Standard
dot-matrix character,,caracter matricial,,GEN,N,WIN,Standard
Double Underline,,Subrayado doble,D,DIA,,WIN,Standard
double-click,,hacer doble clic,,GEN,V,WIN,Standard
double-density disk,,disco de doble densidad,,GEN,,WIN,Standard,,A disk created to hold data at twice the density (bits per inch) of previous disks.
double-sided disk,,disco de doble cara,,GEN,,WIN,Standard,,A floppy disk that can hold data on both its top and bottom surfaces.
Down,,Abajo,B,DIA,,WIN,Standard,,
DOWN ARROW,,FLECHA ABAJO,,KEY,,WIN,Standard,,
