English,English Hotkey,Localised,Localised Hotkey,Category,Type,Environment,Product Name,Comments
CompactDatabase,,Komprimer database,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Compacting,,Komprimerer,,TXT,,WIN,Access,Ver 2.0.
Comparison,,Sammenligning,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
CompileLoadedModules,,Kompiler lastede moduler,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Condition,,Betingelse,,TXT,,WIN,Access,Ver 2.0.
Conditions,C,Betingelser,B,COM,,WIN,Access,Ver 2.0.
Conditions,,Betingelser,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Confirm Document Deletions,,Bekreft sletting av dokument,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Confirm Record Changes,,Bekreft postendringer,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Connect Control,,KobleTilKontroll,,TXT,,WIN,Access,Ver 2.0. Property or event
Constants,,Konstanter,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Contents,C,Innhold,I,COM,,WIN,Access,Ver 2.0.
Continue,,Fortsett,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Continue\\tF5,C,Fortsett\\tF5,F,COM,,WIN,Access,Ver 2.0.
Control Box,,Systemmenyboks,,TXT,,WIN,Access,Ver 2.0. Property or event
Control Name,,Kontrollnavn,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Control Source,,Kontrollkilde,,TXT,,WIN,Access,Ver 2.0. Property or event
Control Type:,T,Kontrolltype:,t,DIA,,WIN,Access,Ver 2.0.
Control Wizards,W,Kontrollveivisere,s,COM,,WIN,Access,Ver 2.0.
Control Wizards,,Kontrollveivisere,,GBN,,WIN,Access,Ver 2.0. Tooltip text
ControlWizards,,Kontrollveivisere,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Conversion,,Konvertering,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Convert Database,,Konverter database,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Convert Database...,t,Konverter database...,o,COM,,WIN,Access,Ver 2.0.
ConvertDatabase,,Konverter database,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
ConvertErrors,,Konverteringsfeil,,TXT,,WIN,Access,Ver 2.0.
Converting,,Konverterer,,TXT,,WIN,Access,Ver 2.0.
Converting old form ,,Konverterer gammelt skjema ,,TXT,,WIN,Access,Ver 2.0. Progress indication
Converting old report ,,Konverterer gammel rapport ,,TXT,,WIN,Access,Ver 2.0. Progress indication
Converting old table properties ,,Konverterer gamle tabellegenskaper ,,TXT,,WIN,Access,Ver 2.0. Progress indication
Copies,,Kopier,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Copy,,Kopier,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Copy In Progress,,Kopierer,,TXT,,WIN,Access,Ver 2.0. Progress indication
Copy\\tCtrl+C,C,Kopier\\tCtrl+C,K,COM,,WIN,Access,Ver 2.0.
CopyObject,,KopierObjekt,,MAC,,WIN,Access,Ver 2.0.
Count,,Antall,,FUN,,WIN,Access,Ver 2.0.
Counter,,Teller,,TXT,,WIN,Access,Ver 2.0. Data type
Create a list of values,,Lag en liste over verdier,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Create a rectangle,,Lag et rektangel,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Create File as Type:,T,Lag fil som type:,t,DIA,,WIN,Access,Ver 2.0.
Create New,N,Ny,N,BUT,,WIN,Access,Ver 2.0.
Create Relationship,,Lag relasjon,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Create Relationship...,C,Lag relasjon...,s,COM,,WIN,Access,Ver 2.0.
CreateRelationship,,Lag relasjon,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Creating relationship..,,Lage relasjoner...,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Creating System Table ... ,,Lager systemtabell ... ,,TXT,,WIN,Access,Ver 2.0. Progress indication
Criteria,,Vilkår,,TXT,,WIN,Access,Ver 2.0.
Criteria:,,Vilkår:,,TXT,,WIN,Access,Ver 2.0. Text in QBE grid
Crosstab,b,Krysstabell,r,COM,,WIN,Access,Ver 2.0.
Crosstab,,Krysstabellspørring,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Crosstab Query,,Krysstabellspørring,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Crosstab Query: ,,Krysstabellspørring: ,,TDB,,WIN,Access,Ver 2.0. Type of query being designed
Crosstab:,,Krysstabell:,,TXT,,WIN,Access,Ver 2.0. Text in QBE grid
Cue Cards,u,Hjelpekort,e,COM,,WIN,Access,Ver 2.0.
Cue Cards,,Hjelpekort,,GBN,,WIN,Access,Ver 2.0. Tooltip text
CueCards,,Hjelpekort,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Currency,,Valuta,,TXT,,WIN,Access,Ver 2.0. List box item (data type)
Current Database,C,Gjeldende database,G,BUT,,WIN,Access,Ver 2.0.
Current Date,,Gjeldende dato,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Current Date/Time,,Gjeldende dato/kl.slett,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Current Module,M,Gjeldende modul,m,BUT,,WIN,Access,Ver 2.0.
Current Procedure,P,Gjeldende prosedyre,r,BUT,,WIN,Access,Ver 2.0.
Current Section Left,,GjeldendeInndVenstre,,TXT,,WIN,Access,Ver 2.0. Property or event
Current Section Top,,GjeldendeInndØverst,,TXT,,WIN,Access,Ver 2.0. Property or event
Current User,,Gjeldende bruker,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Current View,,GjeldendeVisning,,TXT,,WIN,Access,Ver 2.0. Property or event
CurrentObjectName,,GjeldendeObjektnavn,,TXT,,WIN,Access,Ver 2.0. Property or event
CurrentObjectType,,GjeldendeObjekttype,,TXT,,WIN,Access,Ver 2.0. Property or event
CurrentX,,GjeldendeX,,TXT,,WIN,Access,Ver 2.0. Property or event
CurrentY,,GjeldendeY,,TXT,,WIN,Access,Ver 2.0. Property or event
Cursor Stops at First/Last Field,,Markøren stopper ved første/siste felt,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Custom Button,,Egendefinert knapp,,BUT,,WIN,Access,Ver 2.0.
Custom Toolbar|,,Egendefinert verktøylinje|,,TXT,,WIN,Access,Ver 2.0.
Customize,,Tilpass,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
Customize...,C,Tilpass...,p,BUT,,WIN,Access,Ver 2.0.
Customize...,,Tilpass...,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Cut,,Klipp ut,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Cut In Progress,,Klipper ut,,TXT,,WIN,Access,Ver 2.0. Progress indication
Cut\\tCtrl+X,t,Klipp ut\\tCtrl+X,u,COM,,WIN,Access,Ver 2.0.
Dash-Dot,,Strek-prikk,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Dash-Dot-Dot,,Strek-prikk-prikk,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Dashes,,Stiplet,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Data Definition,D,Datadefinisjon,D,COM,,WIN,Access,Ver 2.0. Item in a submenu
Data Definition Language,t,DDL (datadefinisjonsspråk),D,COM,,WIN,Access,Ver 2.0.
Data Definition Query: ,,Datadefinisjonsspørring: ,,TDB,,WIN,Access,Ver 2.0.
Data Destination:,D,Til:,T,DIA,,WIN,Access,Ver 2.0.
Data Destination:,D,Til:,T,DIA,,WIN,Access,Ver 2.0.
Data Entry,D,Dataregistrering,D,COM,,WIN,Access,Ver 2.0.
Data Entry,,Dataregistrering,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Data Mode,,Dataregistreringsmodus,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
