default,,Standard,,,GEN,N,WIN,Standard,GuiGuide,
define,,definieren,,,GEN,V,WIN,Standard,GuiGuide,
deinstall,,deinstallieren,,,GEN,,WIN,Standard,"used for Office command: ""install and deinstall""",
DEL,,ENTF,,,KEY,,WIN,Standard,Style Guide,
DELETE,,RÜCKTASTE (Mac),,,KEY,,WIN,Standard,Style Guide,
Delete,,Löschen,L,,COM,,WIN,Standard,GuiGuide,
delete,,löschen,,,GEN,,WIN,Standard,GuiGuide,
demi-bold,,halbfett,,,GEN,ADJ,WIN,Standard,,
demo,,"Demo, die (s)",,,GEN,N,WIN,Standard,,
descender,,Unterlänge,,,GEN,N,WIN,Standard,Printer term,That portion of a lowercase letter that falls below the baseline.
desktop,,"Desktop, der (s)",,,GEN,N,WIN,Standard,Style Guide,
desktop application,,Anwendung,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93",
desktop application,,Anwendungsprogramm,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93",
destination,,Ziel,,,GEN,N,WIN,Standard,Style Guide,
destination application,,Zielanwendung,,,GEN,N,WIN,Standard,GuiGuide,
destination document,,Zieldokument,,,GEN,N,WIN,Standard,GuiGuide,
device,,Gerät,,,GEN,N,WIN,Standard,GuiGuide,
device driver,,Gerätetreiber,,,GEN,N,WIN,Standard,GuiGuide,
diacricitical mark,,diakritisches Zeichen,,,GEN,N,WIN,Standard,GuiGuide,"An accent mark above, below or through a written charachter, such as acute or accent grave."
dialog box,,Dialogfeld,,,GEN,N,WIN,Standard,GuiGuide,
dialog box option ,,Dialogfeldoption,,,GEN,N,WIN,Standard,GuiGuide,
dialog box title,,Dialogfeldtitel,,,GEN,N,WIN,Standard,GuiGuide,
dialog; do not use,,Dialogfeld,,,GEN,N,WIN,Standard,"Always use ""dialog box"" in English texts",
DIF (data interchange format),,DIF (Datenaustauschformat),,,GEN,,WIN,Standard,,
DIP (dual in-line package),,DIP,,,GEN,,WIN,Standard,,
direct access,,Direktzugriff,,,GEN,,WIN,Standard,"Same as ""random access"".",
Direction,,Suchrichtung,,,DIA,N,WIN,Standard,GuiGuide,
direction,,Richtung,,,GEN,N,WIN,Standard,,
direction keys; Do not use,,PFEILTASTEN,,,GEN,,WIN,Standard,"Use ""arrow keys"" in English text.",
Directories,,Verzeichnisse,V,,DIA,,WIN,Standard,GuiGuide,
directory,,Verzeichnis,,,GEN,N,WIN,Standard,Style Guide,
directory icon,,Verzeichnissymbol,,,GEN,N,WIN,Standard,GuiGuide,
directory name,,Verzeichnisname,,,GEN,N,WIN,Standard,Style Guide,
disable,,deaktivieren,,,GEN,V,WIN,Standard,,
disc,,Compact Disc (CD),,,GEN,N,WIN,Standard,"Use ""disc"" for optical discs and ""disk"" for all others in the computer environment.","A flat, nonmagnetic metal disk to be read from and written to by optical (laser) technology."
disjunction,,ODER-Verknüpfung,,,GEN,,WIN,Standard,,
disk,,Datenträger,,,GEN,N,WIN,Standard,Style Guide,
Disk 1,,Diskette 1,,,GEN,N,WIN,Standard,Style Guide,
disk cache,,Datenträger-Cache,,,GEN,N,WIN,Standard,Style Guide,
disk directory,,Datenträgerverzeichnis,,,GEN,N,WIN,Standard,Style Guide,
disk drive,,(Disketten)laufwerk,,,GEN,N,WIN,Standard,"Same as ""drive"".",
disk icon,,Datenträgersymbol,,,GEN,N,WIN,Standard,GuiGuide,
disk images,,Disketten-Repräsentationen,,,GEN,N,WIN,Standard,,
disk space,,Speicher,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93",
disk space,,Speicherplatz,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93",
display,,anzeigen,,,GEN,V,WIN,Standard,,
dithering,,"Dithering, das",,,GEN,,WIN,Standard,see MS Computer Dictionary,A technique used in computer graphics to create the illusion of varying shades of gray.
