%s Object/Link,,%s-object/-koppeling,B/-,COM,,WIN,PUB
Left Edges,,Linkerrand,L,OPT,,WIN,PUB
Left Page,,Linkerpagina,L,CHX,,WIN,PUB
Left Page Only,,Linkerpagina,L,OPT,,WIN,PUB
Left to Right,,Van links naar rechts,,DIA,,WIN,PUB
Left:,,Links:,L,TXB,,WIN,PUB
Line,,Lijn,,TDB,,WIN,PUB
Line ,,Lijn,L,COM,,WIN,PUB
Line Spacing,,Regelafstand,,COM,,WIN,PUB
Line Spacing,,Regelafstand,R,OPT,,WIN,PUB
Line Spacing,,Regelafstand,,TDB,,WIN,PUB
Line Thickness,,Lijndikte,,DIA,,WIN,PUB
Line To Margins,,Langs marges,A,CHX,,WIN,PUB
Line Up Objects,,Objecten rangschikken,R,COM,,WIN,PUB
Line Up Objects,,Objecten rangschikken,,TDB,,WIN,PUB
Line___,,Lijn ___,N,OPT,,WIN,PUB
Link,,Koppelen,K,CHX,,WIN,PUB
Links,,Koppelingen,B,COM,,WIN,PUB
Links,,Koppelingen,,TDB,,WIN,PUB
List Type of Files:,,Bestandstypen:,T,DIA,,WIN,PUB
Lock Table Size,,Tabelgrootte vergrendelen,B,COM,,WIN,PUB
Long Edge,,Lange zijde papier,L,OPT,,WIN,PUB
Loose,,Uit elkaar,U,OPT,,WIN,PUB
Manual,,Handmatig,M,OPT,,WIN,PUB
Margin Guides,,Margehulplijnen,,DIA,,WIN,PUB
Margins,,Marges,,DIA,,WIN,PUB
Match case,,Identieke hoofdletters/kleine letters,I,CHX,,WIN,STANDARD
Match whole word only:,,Heel woord:,H,CHX,,WIN,STANDARD
Max:,,Max:,,DIA,,WIN,PUB
Measurements:,,Maateenheid:,M,DIA,,WIN,PUB
Memory,,Geheugen,,DIA,,WIN,PUB
Merge Cells,,Cellen samenvoegen ,C,COM,,WIN,PUB
Microsoft Publisher,,Microsoft Publisher,,TXT,,WIN,PUB
Microsoft System Info,,Microsoft System Info,,TDB,,WIN,PUB
Microsoft System Info. Version 1.00.,,Microsoft System Info. Versie 1.00.,,TXT,,WIN,PUB
Mirror,,Spiegelbeeld,E,CHX,,WIN,PUB
More files,,Meer bestanden,,DIA,,WIN,PUB
More Options,,Meer opties,,TDB,,WIN,PUB
"Most Publications, including Newsletters, Brochures and Flyers.",,"publikaties zoals nieuwsbrieven, brochures en folders",,TXT,,WIN,PUB
Move Letters Apart,,Tekens uit elkaar plaatsen,I,OPT,,WIN,PUB
Name:,,Naam:,N,OPT,,WIN,PUB
Name:,,Naam:,N,TXB,,WIN,PUB
Negative Image,,Negatieve weergave,N,CHX,,WIN,PUB
New Bullet,,Nieuw teken,N,BUT,,WIN,PUB
No,,Nee,N,BUT,,WIN,STANDARD
No change,,Niet wijzigen,N,OPT,,WIN,PUB
No change,,Niet wijzigen,W,OPT,,WIN,PUB
No Page Layout found.,,Geen paginalayout gevonden,,DIA,,WIN,PUB
No PageWizard found.,,Geen Wizards gevonden,,DIA,,WIN,PUB
No preview,,Geen voorbeeld,,TXT,,WIN,PUB
No Standard Printer,,Geen standaardprinter,,DIA,,WIN,PUB
No templates found.,,Geen sjablonen gevonden,,DIA,,WIN,PUB
None,,Geen,G,OPT,,WIN,PUB
Normal,,Standaard,S,OPT,,WIN,PUB
Not in dictionary:,,Niet in woordenlijst:,,TXT,,WIN,PUB
Note: To change the printer paper size click the Printer Setup buton,,"Opmerking: als u het papierformaat wilt wijzigen, kiest u de knop Printerinstelling",,TXT,,WIN,PUB
Nudge By:,,Verschuiven met:,V,CHX,,WIN,PUB
Nudge Control,,Verschuiven,,DIA,,WIN,PUB
Nudge Objects,,Objecten verschuiven,B,COM,,WIN,PUB
Nudge Objects,,Objecten verschuiven,,TDB,,WIN,PUB
Number,,Nummer,,DIA,,WIN,PUB
Number of Columns:,,Aantal kolommen:,A,TXB,,WIN,PUB
Number of New Pages,,Aantal nieuwe pagina's:,A,TXB,,WIN,PUB
Number of Rows:,,Aantal rijen:,A,TXB,,WIN,PUB
Number:,,Aantal:,A,TXB,,WIN,PUB
Numbered list,,Genummerde lijst,G,OPT,,WIN,PUB
Object Frame Properties,,Objectframe-eigenschappen,E,COM,,WIN,PUB
Objects Which Will Not Print,,Objecten die niet worden afgedrukt,O,CHX,,WIN,PUB
Open an Existing Publication,,Een publikatie openen,O,BUT,,WIN,PUB
Open Existing Publication,,Bestaande publikatie openen,O,COM,,WIN,PUB
Open Existing Publication,,Bestaande publikatie openen,,TDB,,WIN,PUB
Open File,,Openen,O,BUT,,WIN,PUB
Options,,Opties,O,COM,,WIN,PUB
Options>>,,Opties,O,BUT,,WIN,PUB
Orientation,,Afdrukstand,,DIA,,WIN,PUB
Original Size,,Oorspronkelijk formaat,O,CHX,,WIN,PUB
Others,,Overige,O,BUT,,WIN,PUB
Outside:,,Buitenkant:,B,TXB,,WIN,PUB
Overlap Tiles By:,,Delenoverlappen met:,D,TXT,,WIN,PUB
Page,,Pagina,P,MNU,,WIN,PUB
Page Setup,,Pagina-instelling,P,COM,,WIN,STANDARD
Page Setup,,Pagina-instelling,,TDB,,WIN,PUB
Page Size,,Papierformaat,,DIA,,WIN,PUB
Pages,,Pagina's,P,OPT,,WIN,PUB
PageWizard,,Wizard,,TDB,,WIN,PUB
Paper,,Papier,,DIA,,WIN,PUB
Paste,,Plakken,P,COM,,WIN,STANDARD
Paste,,Plakken,P,OPT,,WIN,PUB
Paste Link,,Koppeling plakken,E,OPT,,WIN,STANDARD
Paste Special,,Plakken speciaal,,TDB,,WIN,PUB
Paste Special ,,Plakken speciaal,S,COM,,WIN,STANDARD
Photo CD portions (R) 1992 Eastman Kodak. All rights reserved.,,Photo CD portions (R) 1992 Eastman Kodak. All rights reserved.,,TXT,,WIN,PUB
Picture Frame Properties,,Figuurframe-eigenschappen,E,COM,,WIN,PUB
Picture Frame Properties,,Figuurframe-eigenschappen,,TDB,,WIN,PUB
Picture Name:,,Figuurnaam:,N,TXT,,WIN,PUB
Picture only,,Alleen figuur/object,A,OPT,,WIN,PUB
Play,,Afspelen,S,COM,,WIN,PUB
Portrait,,Staand,S,OPT,,WIN,PUB
"Posters, Banners, Bussiness Cards and Index Cards.",,"posters, spandoeken, visitekaartjes en indexkaarten",,TXT,,WIN,PUB
Preset,,Instellingen,I,OPT,,WIN,PUB
Preview,,Voorbeeld,,DIA,,WIN,PUB
Preview file,,Voorbeeld bestand,V,DIA,,WIN,PUB
Preview picture,,Figuur bekijken,F,BUT,,WIN,PUB
Preview:,,Voorbeeld:,V,DIA,,WIN,PUB
Print,,Afdrukken,D,BUT,,WIN,PUB
Print,,Afdrukken ,D,COM,,WIN,STANDARD
Print,,Afdrukken,,TDB,,WIN,PUB
Print Crop Marks,,Bijsnijdmarkeringen,B,CHX,,WIN,PUB
Print Entire Page,,Volledige pagina afdrukken,V,TXT,,WIN,PUB
